Animal ID,Date of Birth,Name,DateTime,MonthYear,Outcome Type,Outcome Subtype,Animal Type,Sex upon Outcome,Age upon Outcome,Breed,Color
A699780,4/2/13,,2015-04-02T00:00:00-05:00,Apr-15,Transfer,Partner,Dog,Spayed Female,2 years,Shih Tzu Mix,Black
A699781,4/2/14,,2015-04-02T00:00:00-05:00,Apr-15,Transfer,Partner,Dog,Spayed Female,1 year,Shih Tzu Mix,White/Gray
A699782,4/2/12,,2015-04-02T00:00:00-05:00,Apr-15,Transfer,Partner,Dog,Intact Female,3 years,Shih Tzu Mix,White
A699783,11/2/14,Penny Lou,2015-04-02T00:00:00-05:00,Apr-15,Transfer,Partner,Dog,Intact Female,4 months,Shih Tzu,White/Brown
A699790,10/2/13,Tulip,2015-04-02T00:00:00-05:00,Apr-15,Transfer,Partner,Dog,Intact Female,1 year,Shih Tzu,Chocolate/White
A699791,3/2/15,Jessica,2015-04-02T00:00:00-05:00,Apr-15,Transfer,Partner,Dog,Intact Female,4 weeks,Shih Tzu,Black
A699792,2/8/15,Peter Cotton,2015-04-02T00:00:00-05:00,Apr-15,Transfer,Partner,Dog,Intact Male,1 month,Lhasa Apso,Black/White
A699357,10/16/14,*Finn,2015-04-02T00:00:00-05:00,Apr-15,Adoption,,Dog,Neutered Male,5 months,Australian Cattle Dog Mix,White/Red Tick
A699358,10/16/14,*Lacey,2015-04-03T00:00:00-05:00,Apr-15,Adoption,,Dog,Spayed Female,5 months,Australian Cattle Dog Mix,White/Brown Brindle
A699797,6/3/14,,2015-04-08T00:00:00-05:00,Apr-15,Transfer,Partner,Dog,Neutered Male,10 months,Shih Tzu,White/Brown Brindle
A699917,2/4/15,,2015-04-08T00:00:00-05:00,Apr-15,Adoption,,Dog,Spayed Female,2 months,Labrador Retriever Mix,Black/White
A700034,4/6/10,,2015-04-10T00:00:00-05:00,Apr-15,Transfer,Partner,Dog,Spayed Female,5 years,Miniature Schnauzer Mix,Buff/Gray
A700035,4/6/14,,2015-04-10T00:00:00-05:00,Apr-15,Transfer,Partner,Dog,Spayed Female,1 year,Miniature Schnauzer Mix,Black/Tan
A698408,6/11/06,Isabella,2015-04-10T00:00:00-05:00,Apr-15,Adoption,Foster,Dog,Spayed Female,8 years,Dachshund Mix,Blue Merle/Black
A699912,4/4/14,*Fiona,2015-04-13T00:00:00-05:00,Apr-15,Transfer,Partner,Dog,Spayed Female,1 year,Labrador Retriever Mix,Black
A699937,4/4/07,*Gordo,2015-04-13T00:00:00-05:00,Apr-15,Transfer,Partner,Dog,Neutered Male,8 years,Labrador Retriever Mix,Chocolate
A699787,10/2/13,*Mike,2015-04-20T00:00:00-05:00,Apr-15,Transfer,Partner,Dog,Neutered Male,1 year,Shih Tzu,White/Gray
A700569,4/16/14,*Willie,2015-04-24T00:00:00-05:00,Apr-15,Adoption,,Dog,Neutered Male,1 year,Pembroke Welsh Corgi/Dachshund,Black/White
A701177,2/3/15,,2015-04-28T00:00:00-05:00,Apr-15,Transfer,Partner,Dog,Intact Female,2 months,Labrador Retriever Mix,Tan
A700980,2/11/15,*Cassie,2015-04-28T00:00:00-05:00,Apr-15,Transfer,Partner,Dog,Spayed Female,2 months,Carolina Dog Mix,Tan
A700795,1/19/15,Teddy,2015-04-28T00:00:00-05:00,Apr-15,Transfer,Partner,Dog,Neutered Male,3 months,Pit Bull Mix,White/Tan
A700796,12/19/14,*Rigger,2015-04-28T00:00:00-05:00,Apr-15,Transfer,Partner,Dog,Neutered Male,4 months,Black Mouth Cur/American Staffordshire Terrier,Tan/White
A701542,4/4/15,,2015-05-01T00:00:00-05:00,May-15,Transfer,Partner,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Black
A697165,2/18/15,*Zoey,2015-05-03T00:00:00-05:00,May-15,Adoption,Offsite,Dog,Spayed Female,2 months,Labrador Retriever/Anatol Shepherd,White/Black
A701255,4/26/06,*Joshua,2015-05-07T00:00:00-05:00,May-15,Transfer,Partner,Dog,Neutered Male,9 years,Shih Tzu Mix,White
A701250,4/26/13,,2015-05-11T00:00:00-05:00,May-15,Transfer,Partner,Livestock,Intact Female,2 years,Pig Mix,Pink
A702222,11/11/14,*Sweetcheeks,2015-05-15T00:00:00-05:00,May-15,Transfer,Partner,Dog,Intact Male,6 months,Pit Bull,White
A695189,9/10/14,Gunner,2015-05-15T00:00:00-05:00,May-15,Transfer,Partner,Dog,Neutered Male,8 months,Border Collie/German Shepherd,Black/White
A702777,11/17/14,,2015-05-17T00:00:00-05:00,May-15,Transfer,Partner,Dog,Unknown,5 months,Cairn Terrier Mix,Tan
A702625,3/24/15,Delilah,2015-05-20T00:00:00-05:00,May-15,Transfer,Partner,Dog,Intact Female,1 month,Great Pyrenees,White
A701701,12/3/14,Cooper,2015-05-21T00:00:00-05:00,May-15,Transfer,Partner,Dog,Intact Male,5 months,Miniature Poodle/Cocker Spaniel,Gold
A703278,5/22/13,*Stella,2015-05-26T00:00:00-05:00,May-15,Transfer,Partner,Dog,Intact Female,2 years,Chihuahua Shorthair Mix,Black/White
A703275,5/22/09,*Sheena,2015-05-26T00:00:00-05:00,May-15,Transfer,Partner,Dog,Intact Female,6 years,Rat Terrier Mix,Tricolor
A703283,12/11/14,*Jenny,2015-05-26T00:00:00-05:00,May-15,Transfer,Partner,Dog,Intact Female,5 months,Redbone Hound,Red/White
A702558,5/15/13,*Rico,2015-05-26T00:00:00-05:00,May-15,Transfer,Partner,Dog,Neutered Male,2 years,Border Collie/Australian Cattle Dog,White/Black
A702428,5/13/12,*Sammy,2015-05-26T00:00:00-05:00,May-15,Transfer,Partner,Dog,Neutered Male,3 years,Chihuahua Shorthair Mix,Tan/White
A702722,5/17/13,*Poppy,2015-05-26T00:00:00-05:00,May-15,Transfer,Partner,Dog,Spayed Female,2 years,Chihuahua Shorthair Mix,Tan/White
A703052,5/20/13,*Hailey,2015-05-26T00:00:00-05:00,May-15,Transfer,Partner,Dog,Intact Female,2 years,Great Pyrenees Mix,White
A702955,5/19/07,*Charlize,2015-05-26T00:00:00-05:00,May-15,Transfer,Partner,Dog,Intact Female,8 years,Chihuahua Shorthair Mix,White/Black
A702926,5/19/14,*Minnie,2015-05-26T00:00:00-05:00,May-15,Transfer,Partner,Dog,Spayed Female,1 year,Pointer Mix,White/Brown
A702105,5/9/13,*Sparky,2015-05-26T00:00:00-05:00,May-15,Transfer,Partner,Dog,Neutered Male,2 years,Rat Terrier Mix,White/Tan
A698393,3/10/14,Avery,2015-05-26T00:00:00-05:00,May-15,Transfer,Partner,Dog,Spayed Female,1 year,Chinese Sharpei Mix,Brown
A701772,5/4/12,Dimond,2015-05-27T00:00:00-05:00,May-15,Transfer,Partner,Dog,Spayed Female,3 years,German Shepherd Mix,Black/White
A698044,3/5/13,*Gladys,2015-05-27T00:00:00-05:00,May-15,Transfer,Partner,Dog,Intact Female,2 years,Labrador Retriever Mix,Yellow
A703447,5/24/13,*Laurel,2015-05-31T00:00:00-05:00,May-15,Transfer,Partner,Cat,Spayed Female,2 years,Domestic Shorthair Mix,Calico
A701976,5/7/12,Sapphire,2015-05-31T00:00:00-05:00,May-15,Transfer,Partner,Cat,Spayed Female,3 years,Domestic Longhair Mix,Brown Tabby/White
A700056,4/7/14,*Alyssa,2015-05-31T00:00:00-05:00,May-15,Transfer,Partner,Dog,Spayed Female,1 year,Pit Bull Mix,Brown Brindle
A647139,7/5/12,Tiny,2015-05-31T00:00:00-05:00,May-15,Transfer,Partner,Cat,Spayed Female,2 years,Domestic Shorthair Mix,Blue Tabby
A647140,7/5/12,Lovey,2015-05-31T00:00:00-05:00,May-15,Transfer,Partner,Cat,Spayed Female,2 years,Domestic Shorthair Mix,Blue Tabby
A484945,6/30/07,Johnnie,2015-05-31T00:00:00-05:00,May-15,Transfer,Partner,Cat,Neutered Male,7 years,Domestic Shorthair Mix,Black
A588789,7/18/10,Austin,2015-05-31T00:00:00-05:00,May-15,Transfer,Partner,Dog,Neutered Male,4 years,Border Collie Mix,Chocolate/White
A590362,10/8/10,Texas,2015-05-31T00:00:00-05:00,May-15,Transfer,Partner,Dog,Neutered Male,4 years,Labrador Retriever/Australian Shepherd,Blue Tick/Black
A658800,7/4/13,Houdini,2015-05-31T00:00:00-05:00,May-15,Transfer,Partner,Cat,Neutered Male,1 year,Domestic Medium Hair Mix,Blue/White
A704586,4/6/15,*Simon,2015-06-13T00:00:00-05:00,Jun-15,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,White/Black
A704589,4/6/15,*Sylvester,2015-06-13T00:00:00-05:00,Jun-15,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,White/Black
A705626,4/19/15,,2015-06-19T00:00:00-05:00,Jun-15,Transfer,Partner,Dog,Unknown,1 month,Boxer Mix,Black
A705627,4/19/15,,2015-06-19T00:00:00-05:00,Jun-15,Transfer,Partner,Dog,Unknown,1 month,Boxer Mix,Black
A705628,4/19/15,,2015-06-19T00:00:00-05:00,Jun-15,Transfer,Partner,Dog,Unknown,1 month,Boxer Mix,Black
A705629,4/19/15,,2015-06-19T00:00:00-05:00,Jun-15,Transfer,Partner,Dog,Unknown,1 month,Boxer Mix,Black
A705630,4/19/15,,2015-06-19T00:00:00-05:00,Jun-15,Transfer,Partner,Dog,Unknown,1 month,Boxer Mix,Black
A705631,4/19/15,,2015-06-19T00:00:00-05:00,Jun-15,Transfer,Partner,Dog,Unknown,1 month,Boxer Mix,Black
A705632,4/19/15,,2015-06-19T00:00:00-05:00,Jun-15,Transfer,Partner,Dog,Unknown,1 month,Boxer Mix,Black
A705633,4/19/15,,2015-06-19T00:00:00-05:00,Jun-15,Transfer,Partner,Dog,Unknown,1 month,Boxer Mix,Black
A705636,11/19/14,Packard,2015-06-19T00:00:00-05:00,Jun-15,Transfer,Partner,Dog,Unknown,6 months,Boxer Mix,Black
A705637,11/19/14,Ford,2015-06-19T00:00:00-05:00,Jun-15,Transfer,Partner,Dog,Unknown,6 months,Boxer Mix,White
A705624,4/19/15,,2015-06-19T00:00:00-05:00,Jun-15,Transfer,Partner,Dog,Unknown,1 month,Boxer Mix,Black
A705294,6/15/11,,2015-06-20T00:00:00-05:00,Jun-15,Transfer,Partner,Dog,Intact Female,4 years,Chihuahua Longhair Mix,Red
A705296,4/15/15,,2015-06-20T00:00:00-05:00,Jun-15,Transfer,Partner,Dog,Intact Male,2 months,Chihuahua Longhair Mix,Black
A705204,3/30/15,*Dinah,2015-06-20T00:00:00-05:00,Jun-15,Adoption,Offsite,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Calico
A705241,12/15/14,*Flower,2015-06-20T00:00:00-05:00,Jun-15,Transfer,Partner,Dog,Intact Female,6 months,Australian Cattle Dog Mix,Red
A704984,1/11/15,*Daisy,2015-06-20T00:00:00-05:00,Jun-15,Transfer,Partner,Dog,Spayed Female,5 months,Boxer Mix,Brown/White
A705064,2/12/15,*Spoon,2015-06-20T00:00:00-05:00,Jun-15,Transfer,Partner,Dog,Spayed Female,4 months,Australian Kelpie Mix,Tricolor
A704739,4/20/15,Ladybird,2015-06-20T00:00:00-05:00,Jun-15,Transfer,Partner,Dog,Spayed Female,1 month,Labrador Retriever Mix,Black/White
A704735,1/24/15,*Topper,2015-06-20T00:00:00-05:00,Jun-15,Transfer,Partner,Dog,Intact Male,4 months,Labrador Retriever/German Shepherd,Brown
A704565,3/21/15,*Boudreau,2015-06-20T00:00:00-05:00,Jun-15,Transfer,Partner,Dog,Intact Male,2 months,Pit Bull Mix,Brown
A704566,10/6/14,*Soda Pop,2015-06-20T00:00:00-05:00,Jun-15,Transfer,Partner,Dog,Intact Female,8 months,Beagle Mix,Black/White
A694130,9/20/14,Snoopy,2015-06-20T00:00:00-05:00,Jun-15,Transfer,Partner,Dog,Intact Male,8 months,Chihuahua Longhair Mix,Black/Brown
A703854,5/29/13,,2015-06-22T00:00:00-05:00,Jun-15,Transfer,Partner,Bird,Unknown,2 years,Parakeet,Green/Blue
A703855,5/29/13,,2015-06-22T00:00:00-05:00,Jun-15,Transfer,Partner,Bird,Unknown,2 years,Parakeet,Green/Blue
A706038,4/9/15,,2015-06-24T00:00:00-05:00,Jun-15,Transfer,Partner,Dog,Intact Male,2 months,Great Pyrenees Mix,White
A705937,5/1/15,,2015-06-26T00:00:00-05:00,Jun-15,Adoption,,Dog,Neutered Male,1 month,Chihuahua Shorthair Mix,Black
A705441,6/17/12,,2015-06-30T00:00:00-05:00,Jun-15,Transfer,Partner,Dog,Neutered Male,3 years,Chihuahua Shorthair Mix,Black/Tan
A704518,12/5/13,*Daisy,2015-06-30T00:00:00-05:00,Jun-15,Transfer,Partner,Dog,Spayed Female,1 year,Chihuahua Shorthair Mix,Tan
A703670,4/20/15,,2015-07-02T00:00:00-05:00,Jul-15,Transfer,Partner,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Brown Tabby/White
A704031,3/31/15,*Daquiri,2015-07-02T00:00:00-05:00,Jul-15,Transfer,Partner,Cat,Spayed Female,3 months,Domestic Shorthair Mix,White/Black
A703893,4/26/15,*Jesse Moon,2015-07-02T00:00:00-05:00,Jul-15,Transfer,Partner,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Brown Tabby
A704353,4/3/15,*Hugo,2015-07-02T00:00:00-05:00,Jul-15,Transfer,Partner,Cat,Neutered Male,2 months,Domestic Medium Hair Mix,Black
A704326,4/28/15,Oj,2015-07-02T00:00:00-05:00,Jul-15,Transfer,Partner,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Orange Tabby
A705615,4/19/15,*Vivian,2015-07-02T00:00:00-05:00,Jul-15,Transfer,Partner,Cat,Spayed Female,2 months,Domestic Medium Hair Mix,Blue Tabby
A705049,4/5/15,*Fancy,2015-07-02T00:00:00-05:00,Jul-15,Transfer,Partner,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Black
A705050,4/5/15,*Fallon,2015-07-02T00:00:00-05:00,Jul-15,Transfer,Partner,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Tortie
A704472,3/20/15,*Tiger,2015-07-02T00:00:00-05:00,Jul-15,Transfer,Partner,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Orange Tabby
A704464,3/20/15,*Marmalade,2015-07-02T00:00:00-05:00,Jul-15,Transfer,Partner,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Orange Tabby
A700751,4/4/15,*Gypsy,2015-07-02T00:00:00-05:00,Jul-15,Transfer,Partner,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Brown Tabby
A702992,4/4/15,*Cloud,2015-07-02T00:00:00-05:00,Jul-15,Transfer,Partner,Cat,Neutered Male,2 months,Domestic Medium Hair Mix,Brown Tabby
A702989,4/4/15,*Star,2015-07-02T00:00:00-05:00,Jul-15,Transfer,Partner,Cat,Neutered Male,2 months,Domestic Medium Hair Mix,Brown Tabby
A706562,3/15/15,Dawn,2015-07-02T00:00:00-05:00,Jul-15,Transfer,Partner,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Black
A706564,3/15/15,Nicky,2015-07-02T00:00:00-05:00,Jul-15,Transfer,Partner,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Black
A706565,3/15/15,Ducky,2015-07-02T00:00:00-05:00,Jul-15,Transfer,Partner,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Black
A706294,4/27/15,*Lissa,2015-07-02T00:00:00-05:00,Jul-15,Transfer,Partner,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Orange Tabby
A706295,4/27/15,*Marty,2015-07-02T00:00:00-05:00,Jul-15,Transfer,Partner,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Orange Tabby
A706296,4/27/15,*Mica,2015-07-02T00:00:00-05:00,Jul-15,Transfer,Partner,Cat,Spayed Female,2 months,Domestic Medium Hair,Orange Tabby
A706156,4/25/15,*Holmes,2015-07-02T00:00:00-05:00,Jul-15,Transfer,Partner,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Brown Tabby/White
A706135,4/3/15,*Pete,2015-07-02T00:00:00-05:00,Jul-15,Transfer,Partner,Cat,Neutered Male,2 months,Domestic Medium Hair Mix,Black/White
A705818,4/7/15,*Cher,2015-07-02T00:00:00-05:00,Jul-15,Transfer,Partner,Cat,Spayed Female,2 months,Domestic Longhair Mix,Blue Tabby
A706868,6/4/15,,2015-07-04T00:00:00-05:00,Jul-15,Transfer,Partner,Cat,Intact Male,4 weeks,Domestic Shorthair Mix,Orange Tabby
A706869,6/4/15,,2015-07-04T00:00:00-05:00,Jul-15,Transfer,Partner,Cat,Intact Male,4 weeks,Domestic Shorthair Mix,Orange Tabby
A706871,6/4/15,,2015-07-04T00:00:00-05:00,Jul-15,Transfer,Partner,Cat,Intact Female,4 weeks,Domestic Shorthair Mix,Calico
A706304,4/27/15,*Mike,2015-07-06T00:00:00-05:00,Jul-15,Transfer,Partner,Cat,Intact Male,2 months,Domestic Shorthair Mix,Orange Tabby
A707172,5/9/15,,2015-07-09T00:00:00-05:00,Jul-15,Transfer,Partner,Dog,Intact Male,1 month,Australian Cattle Dog Mix,Blue Merle
A707633,1/15/15,Cookie Monst,2015-07-19T00:00:00-05:00,Jul-15,Transfer,Partner,Dog,Spayed Female,6 months,Bruss Griffon Mix,Orange/Tan
A707641,1/15/07,Coco Chanel,2015-07-21T00:00:00-05:00,Jul-15,Transfer,Partner,Dog,Intact Female,8 years,Dachshund,Red
A707046,7/7/12,Jameson,2015-07-22T00:00:00-05:00,Jul-15,Transfer,Partner,Dog,Neutered Male,3 years,Siberian Husky Mix,White/White
A702755,5/10/15,Oscar,2015-07-26T00:00:00-05:00,Jul-15,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Orange Tabby/White
A707958,7/20/14,*Stitch,2015-07-29T00:00:00-05:00,Jul-15,Transfer,Partner,Dog,Neutered Male,1 year,Chihuahua Shorthair Mix,Tan
A708471,5/13/15,Peanut,2015-08-01T00:00:00-05:00,Aug-15,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Cream Tabby
A704994,5/17/15,Rajah,2015-08-01T00:00:00-05:00,Aug-15,Adoption,,Cat,Intact Male,2 months,Domestic Shorthair Mix,Brown Tabby/White
A708683,4/28/15,Birdie,2015-08-03T00:00:00-05:00,Aug-15,Transfer,Partner,Cat,Spayed Female,3 months,Domestic Medium Hair Mix,Cream Tabby
A708684,4/28/15,Bobbie,2015-08-03T00:00:00-05:00,Aug-15,Transfer,Partner,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Cream Tabby/White
A708667,7/30/09,Phantom,2015-08-03T00:00:00-05:00,Aug-15,Adoption,,Dog,Neutered Male,6 years,Chihuahua Shorthair Mix,Black
A708422,3/27/15,*Giblets,2015-08-03T00:00:00-05:00,Aug-15,Transfer,Partner,Cat,Neutered Male,4 months,Domestic Shorthair Mix,Brown Tabby
A708423,3/27/15,*Gilbert,2015-08-03T00:00:00-05:00,Aug-15,Transfer,Partner,Cat,Neutered Male,4 months,Domestic Shorthair Mix,Orange Tabby
A708113,3/23/15,Dinker,2015-08-03T00:00:00-05:00,Aug-15,Transfer,Partner,Cat,Neutered Male,4 months,Domestic Medium Hair Mix,Brown Tabby
A707571,7/14/13,*Mason,2015-08-03T00:00:00-05:00,Aug-15,Transfer,Partner,Cat,Neutered Male,2 years,Domestic Longhair Mix,Brown Tabby/White
A704423,6/4/12,Max,2015-08-03T00:00:00-05:00,Aug-15,Transfer,Partner,Dog,Neutered Male,3 years,Border Collie Mix,Black/White
A702654,3/8/15,*Amber,2015-08-11T00:00:00-05:00,Aug-15,Transfer,Partner,Cat,Spayed Female,5 months,Domestic Shorthair Mix,Tortie
A702655,4/7/15,*Mica,2015-08-11T00:00:00-05:00,Aug-15,Transfer,Partner,Cat,Neutered Male,4 months,Domestic Shorthair Mix,Black/White
A704952,5/11/15,*Tommy,2015-08-11T00:00:00-05:00,Aug-15,Transfer,Partner,Cat,Neutered Male,3 months,Domestic Medium Hair Mix,Brown Tabby
A705613,4/19/15,*Giovanni,2015-08-11T00:00:00-05:00,Aug-15,Transfer,Partner,Cat,Neutered Male,3 months,Domestic Longhair Mix,Blue Tabby
A709161,8/5/14,*Mitzi,2015-08-11T00:00:00-05:00,Aug-15,Transfer,Partner,Cat,Intact Female,1 year,Domestic Shorthair Mix,Brown Tabby/White
A709162,7/17/15,,2015-08-11T00:00:00-05:00,Aug-15,Transfer,Partner,Cat,Intact Male,3 weeks,Siamese,Lilac Point
A709163,7/17/15,,2015-08-11T00:00:00-05:00,Aug-15,Transfer,Partner,Cat,Intact Male,3 weeks,Domestic Shorthair,Black
A709165,7/17/15,,2015-08-11T00:00:00-05:00,Aug-15,Transfer,Partner,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Blue Tabby
A709166,7/17/15,,2015-08-11T00:00:00-05:00,Aug-15,Transfer,Partner,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Torbie
A709167,7/17/15,,2015-08-11T00:00:00-05:00,Aug-15,Transfer,Partner,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Brown Tabby
A709168,7/17/15,,2015-08-11T00:00:00-05:00,Aug-15,Transfer,Partner,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Brown Tabby/White
A709298,6/30/15,*Rob,2015-08-11T00:00:00-05:00,Aug-15,Transfer,Partner,Cat,Intact Male,1 month,Domestic Shorthair Mix,Black
A709299,6/30/15,*Jon,2015-08-11T00:00:00-05:00,Aug-15,Transfer,Partner,Cat,Intact Male,1 month,Domestic Shorthair Mix,Black
A709300,6/30/15,*Bran,2015-08-11T00:00:00-05:00,Aug-15,Transfer,Partner,Cat,Intact Male,1 month,Domestic Shorthair Mix,Black
